,Team,MatchUp,Date,W/L,Min,Points,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PN
0,OKC,OKC @ ORL,03/20/2022,L,240,85,30,92,32.6,13,48,27.1,12,18,66.7,14,33,47,19,13,7,16,24,-5
1,ORL,ORL vs. OKC,03/20/2022,W,240,90,32,83,38.6,7,31,22.6,19,24,79.2,15,45,60,22,11,4,21,17,5
2,SAS,SAS @ GSW,03/20/2022,W,240,110,38,98,38.8,15,40,37.5,19,25,76.0,17,27,44,25,7,2,11,18,2
3,GSW,GSW vs. SAS,03/20/2022,L,240,108,41,90,45.6,11,33,33.3,15,21,71.4,20,37,57,26,5,1,15,20,-2
4,TOR,TOR @ PHI,03/20/2022,W,240,93,35,93,37.6,7,26,26.9,16,23,69.6,20,36,56,16,5,4,9,16,5
5,PHI,PHI vs. TOR,03/20/2022,L,240,88,30,73,41.1,7,27,25.9,21,28,75.0,5,35,40,21,7,5,10,23,-5
6,BOS,BOS @ DEN,03/20/2022,W,240,124,47,82,57.3,19,40,47.5,11,11,100,5,33,38,29,4,6,9,18,20
7,DEN,DEN vs. BOS,03/20/2022,L,240,104,35,87,40.2,14,39,35.9,20,25,80.0,13,28,41,22,4,3,11,15,-20
8,UTA,UTA @ NYK,03/20/2022,W,240,108,34,74,45.9,17,46,37.0,23,29,79.3,9,40,49,16,9,11,12,17,15
9,NYK,NYK vs. UTA,03/20/2022,L,240,93,31,83,37.3,16,40,40.0,15,21,71.4,10,27,37,20,7,2,11,19,-15
10,SAC,SAC vs. PHX,03/20/2022,L,265,124,39,91,42.9,16,34,47.1,30,36,83.3,9,33,42,27,12,2,15,21,-3
11,PHX,PHX @ SAC,03/20/2022,W,265,127,46,92,50.0,12,28,42.9,23,27,85.2,10,40,50,25,12,5,18,30,3
12,ATL,ATL vs. NOP,03/20/2022,L,240,112,41,87,47.1,10,32,31.3,20,23,87.0,7,33,40,22,7,4,16,22,-5
13,NOP,NOP @ ATL,03/20/2022,W,240,117,43,96,44.8,7,21,33.3,24,27,88.9,18,36,54,22,12,1,16,23,5
14,HOU,HOU vs. MEM,03/20/2022,L,240,98,37,86,43.0,10,31,32.3,14,24,58.3,5,40,45,26,6,4,17,16,-24
15,MEM,MEM @ HOU,03/20/2022,W,240,122,46,96,47.9,16,34,47.1,14,17,82.4,7,44,51,26,14,6,14,24,24
16,POR,POR @ IND,03/20/2022,L,240,98,38,81,46.9,9,33,27.3,13,18,72.2,10,22,32,23,10,3,18,19,-31
17,IND,IND vs. POR,03/20/2022,W,240,129,48,84,57.1,15,35,42.9,18,21,85.7,11,30,41,38,10,2,16,19,31
18,LAL,LAL @ WAS,03/19/2022,L,240,119,48,91,52.7,13,35,37.1,10,11,90.9,9,32,41,25,3,1,15,23,-8
19,WAS,WAS vs. LAL,03/19/2022,W,240,127,44,85,51.8,13,31,41.9,26,31,83.9,7,29,36,30,10,1,8,13,8
20,DET,DET @ CLE,03/19/2022,L,240,109,41,85,48.2,13,30,43.3,14,19,73.7,10,28,38,23,10,6,16,22,-4
21,CLE,CLE vs. DET,03/19/2022,W,240,113,45,89,50.6,10,26,38.5,13,23,56.5,13,32,45,28,7,4,16,16,4
22,DAL,DAL @ CHA,03/19/2022,L,240,108,39,89,43.8,14,38,36.8,16,20,80.0,12,32,44,18,4,4,15,26,-21
23,CHA,CHA vs. DAL,03/19/2022,W,240,129,44,88,50.0,20,42,47.6,21,27,77.8,10,36,46,33,8,8,9,18,21
24,MIL,MIL @ MIN,03/19/2022,L,240,119,43,97,44.3,19,52,36.5,14,17,82.4,14,37,51,27,6,4,14,18,-19
